Decade,Category,Percentage,Total_Titles
1660,Public_Sphere,13.839140345164441,37
1670,Public_Sphere,16.144332557153653,83
1680,Public_Sphere,18.70014924340512,53
1690,Public_Sphere,15.744325950232431,92
1700,Public_Sphere,12.992753623188406,25
1710,Public_Sphere,17.944444444444443,8
1720,Public_Sphere,23.61111111111111,6
1730,Public_Sphere,19.444444444444443,12
1740,Public_Sphere,10.897435897435898,7
1750,Public_Sphere,2.5641025641025643,26
1760,Public_Sphere,3.675213675213675,40
1770,Public_Sphere,3.194444444444444,60
1780,Public_Sphere,6.347597597597598,64
1790,Public_Sphere,8.093629343629344,74
1800,Public_Sphere,8.574398574398574,105
1810,Public_Sphere,10.629578754578754,117
1820,Public_Sphere,16.661324786324787,96
1830,Public_Sphere,19.147727272727273,45
1840,Public_Sphere,19.89177489177489,33
1850,Public_Sphere,15.447330447330446,56
1860,Public_Sphere,16.457431457431458,45
1870,Public_Sphere,14.786396070799741,77
1880,Public_Sphere,14.841951626355296,109
1890,Public_Sphere,8.781345565749236,200
1900,Public_Sphere,6.750000000000001,3
1660,Private_Sphere,12.780853142298927,37
1670,Private_Sphere,12.923084484803057,83
1680,Private_Sphere,14.578000270153623,53
1690,Private_Sphere,15.895269346458845,92
1700,Private_Sphere,15.65942028985507,25
1710,Private_Sphere,15.055555555555555,8
1720,Private_Sphere,15.277777777777777,6
1730,Private_Sphere,15.873015873015872,12
1740,Private_Sphere,15.445665445665446,7
1750,Private_Sphere,14.056776556776557,26
1760,Private_Sphere,11.517094017094017,40
1770,Private_Sphere,12.638888888888888,60
1780,Private_Sphere,12.526276276276276,64
1790,Private_Sphere,15.70087945087945,74
1800,Private_Sphere,13.724383724383722,105
1810,Private_Sphere,12.79532967032967,117
1820,Private_Sphere,10.361467236467236,96
1830,Private_Sphere,10.128367003367003,45
1840,Private_Sphere,9.97955747955748,33
1850,Private_Sphere,9.97955747955748,56
1860,Private_Sphere,6.804954304954305,45
1870,Private_Sphere,4.74619502142438,77
1880,Private_Sphere,3.449898725128083,109
1890,Private_Sphere,2.5840978593272173,200
1900,Private_Sphere,2.5,3
